# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-1073	BLG506.22	 4155	17:57:04.54	-30:23:30.1	2455783.918	2011-08-10.42	14.751	0.452	2.379
2011-BLG-1074	BLG507.19	 167126	17:58:45.50	-31:24:37.8	2455770.502	2011-07-28.00	23.477	1.037	1.316
2011-BLG-1075	BLG508.18	 30082	18:00:04.48	-32:38:14.2	2455775.175	2011-08-01.68	87.938	0.100	10.02
2011-BLG-1076	BLG508.25	 53213	17:54:34.89	-32:41:00.8	2455765.417	2011-07-22.92	10.422	1.716	1.094
2011-BLG-1077	BLG511.23	 60875	18:01:44.46	-27:06:46.4	2455767.740	2011-07-25.24	2.239	0.282	3.656
2011-BLG-1078	BLG512.14	 90961	18:01:40.99	-28:44:29.1	2455768.492	2011-07-25.99	9.711	0.901	1.423
2011-BLG-1079	BLG519.25	 129581	18:05:38.93	-27:43:49.1	2455780.715	2011-08-07.21	16.841	0.094	10.62
2011-BLG-1080	BLG521.07	 114974	18:06:25.29	-30:50:23.0	2455793.634	2011-08-20.13	40.349	0.856	1.468
2011-BLG-1081	BLG521.12	 18610	18:08:57.28	-30:38:06.8	2455767.919	2011-07-25.42	21.628	0.102	9.834
2011-BLG-1082	BLG603.22	 60072	17:45:12.31	-34:00:42.9	2455789.040	2011-08-15.54	37.539	0.213	4.766
2011-BLG-1083	BLG631.24	 66745	17:43:26.27	-22:12:49.9	2455779.317	2011-08-05.82	58.685	0.228	4.469
2011-BLG-1084	BLG632.27	 18689	17:47:14.21	-23:01:17.8	2455769.995	2011-07-27.50	32.833	0.017	59.47
2011-BLG-1085	BLG638.06	 124846	17:49:15.35	-23:15:20.8	2455808.161	2011-09-03.66	29.331	0.731	1.628
2011-BLG-1086	BLG638.07	 52988	17:48:54.22	-23:15:17.2	2455764.593	2011-07-22.09	18.292	0.306	3.379
2011-BLG-1087	BLG646.08	 64309	18:05:37.56	-26:24:04.0	2455773.252	2011-07-30.75	11.937	0.085	11.82
2011-BLG-1088	BLG508.19	 87286	17:58:57.67	-32:45:09.2	2455771.083	2011-07-28.58	35.811	1.084	1.288
2011-BLG-1089	BLG512.06	 203636	18:01:28.09	-28:58:24.8	2455894.281	2011-11-28.78	71.872	0.890	1.433
2011-BLG-1090	BLG514.17	 25591	18:06:25.30	-30:50:22.7	2455793.998	2011-08-20.50	35.728	0.964	1.369
2011-BLG-1091	BLG519.08	 53762	18:11:29.76	-28:11:34.9	2455769.377	2011-07-26.88	14.020	0.442	2.426
2011-BLG-1092	BLG610.10	 70695	17:41:06.75	-36:11:01.6	2455766.752	2011-07-24.25	28.316	0.756	1.591
2011-BLG-1093	BLG610.30	 3284	17:39:10.19	-35:36:46.2	2455826.462	2011-09-21.96	33.006	0.165	6.105
2011-BLG-1094	BLG612.16	 72707	17:27:06.07	-28:02:49.3	2455762.637	2011-07-20.14	20.494	0.442	2.424
2011-BLG-1095	BLG612.19	 2202	17:31:39.37	-27:56:01.8	2455826.956	2011-09-22.46	42.420	0.792	1.543
2011-BLG-1096	BLG631.05	 116069	17:44:39.17	-22:34:36.6	2455769.353	2011-07-26.85	5.309	1.366	1.169
2011-BLG-1097	BLG638.11	 66024	17:51:20.24	-23:06:05.1	2455784.981	2011-08-11.48	34.912	1.050	1.308
2011-BLG-1098	BLG638.20	 70056	17:51:24.59	-22:47:56.9	2455784.201	2011-08-10.70	21.842	0.000	20297
2011-BLG-1099	BLG645.04	 63780	17:57:21.82	-27:18:45.8	2455770.386	2011-07-27.89	8.443	1.683	1.099
2011-BLG-1100	BLG645.24	 7591	17:55:28.02	-26:31:41.6	2455851.621	2011-10-17.12	67.384	1.557	1.121
2011-BLG-1101	BLG646.11	 48574	18:03:31.62	-26:20:39.5	2455823.612	2011-09-19.11	31.666	0.043	23.27
2011-BLG-1102	BLG501.29	 58093	17:51:56.40	-29:21:14.2	2455770.924	2011-07-28.42	44.451	0.459	2.347
2011-BLG-1103	BLG501.29	 88096	17:51:49.68	-29:24:30.0	2455770.051	2011-07-27.55	2.691	1.488	1.136
2011-BLG-1104	BLG504.07	 170377	17:55:13.31	-28:28:47.5	2455768.233	2011-07-25.73	22.739	0.789	1.545
2011-BLG-1105	BLG507.25	 76512	17:54:48.34	-31:25:57.8	2455780.703	2011-08-07.20	34.419	0.000	27130
2011-BLG-1106	BLG508.13	 114439	17:56:28.85	-33:10:15.1	2455823.469	2011-09-18.97	53.185	0.179	5.655
2011-BLG-1107	BLG515.23	 42260	18:01:54.89	-32:15:07.1	2455774.513	2011-08-01.01	15.440	0.191	5.319
2011-BLG-1108	BLG534.17	 100187	17:54:36.88	-31:03:28.7	2455771.005	2011-07-28.50	5.181	0.917	1.408
2011-BLG-1109	BLG613.08	 6696	17:33:05.73	-29:26:49.5	2455771.629	2011-07-29.13	32.442	0.233	4.382
2011-BLG-1110	BLG503.27	 46809	17:53:12.65	-34:23:04.8	2455767.982	2011-07-25.48	15.683	0.818	1.510
2011-BLG-1111	BLG505.16	 86642	17:54:45.09	-29:18:54.1	2455770.203	2011-07-27.70	2.324	1.235	1.214
2011-BLG-1112	BLG507.10	 123595	17:58:43.30	-31:55:51.5	2455793.505	2011-08-20.00	44.291	0.025	40.64
2011-BLG-1113	BLG510.25	 91264	17:54:21.89	-35:05:57.0	2455759.386	2011-07-16.89	14.152	0.000	35276
2011-BLG-1114	BLG512.11	 140884	18:03:45.64	-28:46:34.9	2455769.621	2011-07-27.12	0.182	0.528	2.085
2011-BLG-1115	BLG513.11	 59858	18:03:56.13	-29:57:33.5	2455777.781	2011-08-04.28	15.411	1.218	1.221
2011-BLG-1116	BLG522.12	 123472	18:13:30.94	-26:23:17.2	2455774.466	2011-07-31.97	19.919	0.607	1.866
2011-BLG-1117	BLG534.30	 99291	17:51:01.69	-30:32:15.1	2455786.182	2011-08-12.68	47.778	0.030	33.39
2011-BLG-1118	BLG609.17	 27189	17:43:07.48	-34:31:15.8	2455789.418	2011-08-15.92	101.690	0.029	34.37
2011-BLG-1119	BLG612.06	 93547	17:28:16.88	-28:28:27.7	2455776.012	2011-08-02.51	12.997	0.396	2.671
2011-BLG-1120	BLG518.32	 42789	18:06:25.46	-26:15:22.1	2455777.835	2011-08-04.33	13.542	0.225	4.538
2011-BLG-1121	BLG534.17	 102680	17:54:39.15	-31:00:45.6	2455773.224	2011-07-30.72	13.616	0.000	11107
2011-BLG-1122	BLG508.01	 84347	17:59:36.80	-33:15:38.8	2455775.194	2011-08-01.69	10.153	0.695	1.688
2011-BLG-1123	BLG512.22	 20135	18:02:35.87	-28:28:27.4	2455779.164	2011-08-05.66	11.363	1.688	1.098
2011-BLG-1124	BLG500.09	 85414	17:54:15.60	-28:44:29.9	2455777.417	2011-08-03.92	16.348	0.023	43.68
2011-BLG-1125	BLG511.06	 34884	18:01:50.31	-27:45:01.0	2455777.580	2011-08-04.08	56.359	0.567	1.969
2011-BLG-1126	BLG511.11	 95925	18:03:39.02	-27:40:11.2	2455776.267	2011-08-02.77	3.673	0.000	44458
2011-BLG-1127	BLG511.18	 175814	18:04:53.60	-27:13:15.4	2455775.588	2011-08-02.09	13.173	0.148	6.808
2011-BLG-1128	BLG521.25	 44956	18:06:03.35	-30:23:53.6	2455895.155	2011-11-29.66	209.812	1.306	1.188
2011-BLG-1129	BLG534.02	 139145	17:53:06.22	-31:31:20.2	2455775.677	2011-08-02.18	6.978	0.125	8.050
2011-BLG-1130	BLG501.02	 35769	17:53:34.30	-30:15:01.9	2455780.196	2011-08-06.70	8.469	0.518	2.120
2011-BLG-1131	BLG501.08	 164840	17:54:29.25	-30:07:39.4	2455805.550	2011-09-01.05	79.051	0.109	9.228
2011-BLG-1132	BLG504.09	 35501	17:59:53.10	-28:03:50.5	2455778.285	2011-08-04.79	45.349	0.307	3.367
2011-BLG-1133	BLG505.08	 170975	18:00:05.66	-29:22:41.6	2455779.586	2011-08-06.09	4.803	1.304	1.189
2011-BLG-1134	BLG505.13	 219140	17:56:39.71	-29:14:14.5	2455862.761	2011-10-28.26	49.448	0.255	4.015
2011-BLG-1135	BLG505.28	 163789	17:58:05.49	-28:38:30.3	2455776.074	2011-08-02.57	2.425	1.364	1.169
2011-BLG-1136	BLG507.20	 169521	17:58:03.40	-31:25:09.5	2455812.377	2011-09-07.88	25.902	0.955	1.376
2011-BLG-1137	BLG511.12	 91909	18:02:55.16	-27:39:50.9	2455812.805	2011-09-08.30	46.653	0.534	2.066
2011-BLG-1138	BLG511.29	 116404	18:02:43.69	-27:01:35.2	2455787.945	2011-08-14.45	15.140	0.568	1.967
2011-BLG-1139	BLG519.31	 28964	18:07:24.69	-27:28:23.9	2455779.624	2011-08-06.12	38.107	0.140	7.200
2011-BLG-1140	BLG534.23	 84822	17:50:14.25	-30:50:58.3	2455775.843	2011-08-02.34	1.728	0.912	1.413
2011-BLG-1141	BLG534.28	 10618	17:52:48.33	-30:42:07.2	2455780.721	2011-08-07.22	9.477	0.273	3.762
2011-BLG-1142	BLG611.03	 65066	17:36:18.87	-27:30:54.9	2455783.631	2011-08-10.13	14.199	0.096	10.48
2011-BLG-1143	BLG632.09	 5508	17:47:57.87	-23:41:28.0	2455784.793	2011-08-11.29	19.372	0.326	3.188
2011-BLG-1144	BLG518.06	 161088	18:06:48.70	-27:14:39.0	2455787.517	2011-08-14.02	31.213	0.290	3.556
2011-BLG-1145	BLG501.10	 23179	17:53:37.99	-29:59:43.8	2455782.227	2011-08-08.73	7.387	0.000	11167
2011-BLG-1146	BLG501.15	 54404	17:49:43.74	-29:58:44.7	2455812.270	2011-09-07.77	91.720	2.003	1.060
2011-BLG-1147	BLG504.15	 40251	17:55:30.20	-28:16:29.7	2455786.284	2011-08-12.78	10.826	0.894	1.429
2011-BLG-1148	BLG505.24	 119167	17:55:21.25	-29:07:51.7	2455793.362	2011-08-19.86	13.823	0.329	3.162
2011-BLG-1149	BLG508.09	 22742	17:59:55.92	-32:57:40.3	2455795.679	2011-08-22.18	78.030	0.155	6.497
2011-BLG-1150	BLG514.25	 112330	18:00:05.48	-30:59:24.3	2455794.888	2011-08-21.39	26.935	0.446	2.404
2011-BLG-1151	BLG523.15	 159005	18:11:36.68	-27:38:28.6	2455781.913	2011-08-08.41	20.100	0.877	1.445
2011-BLG-1152	BLG535.03	 139286	17:52:10.03	-32:45:04.5	2455796.355	2011-08-22.86	17.866	1.476	1.139
2011-BLG-1153	BLG535.30	 31518	17:51:07.15	-31:43:30.4	2455782.202	2011-08-08.70	9.280	0.462	2.333
2011-BLG-1154	BLG609.02	 113934	17:41:08.83	-35:14:19.1	2455796.547	2011-08-23.05	35.610	0.455	2.363
2011-BLG-1155	BLG613.12	 114419	17:29:43.90	-29:22:36.6	2455784.050	2011-08-10.55	25.215	0.064	15.65
2011-BLG-1156	BLG615.23	 19575	17:23:12.51	-29:36:54.7	2455784.148	2011-08-10.65	8.693	1.670	1.101
2011-BLG-1157	BLG624.03	 100079	17:40:36.54	-22:10:52.9	2455773.202	2011-07-30.70	38.711	0.000	24557
2011-BLG-1158	BLG675.06	 46991	17:39:35.33	-27:46:36.8	2455798.364	2011-08-24.86	29.587	0.246	4.159
2011-BLG-1159	BLG675.07	 113270	17:38:39.66	-27:51:17.2	2455807.602	2011-09-03.10	32.297	0.039	25.69
2011-BLG-1160	BLG501.10	 129842	17:53:12.41	-30:03:51.4	2455787.776	2011-08-14.28	8.863	0.461	2.337
2011-BLG-1161	BLG501.26	 88998	17:54:03.80	-29:17:37.1	2455786.248	2011-08-12.75	9.259	0.047	21.27
2011-BLG-1162	BLG501.26	 91238	17:54:08.72	-29:16:42.7	2455799.146	2011-08-25.65	10.357	0.731	1.628
2011-BLG-1163	BLG501.27	 147147	17:53:18.26	-29:18:12.9	2455785.924	2011-08-12.42	5.532	0.285	3.618
2011-BLG-1164	BLG513.01	 2018	18:05:34.42	-30:25:06.7	2455803.781	2011-08-30.28	35.773	1.850	1.076
2011-BLG-1166	BLG505.18	 170748	17:59:40.37	-28:56:12.1	2455794.142	2011-08-20.64	19.351	0.128	7.859
2011-BLG-1167	BLG505.22	 136828	17:56:48.96	-28:57:43.5	2455787.007	2011-08-13.51	2.531	0.044	22.54
2011-BLG-1168	BLG508.05	 133070	17:56:25.97	-33:19:36.4	2455805.519	2011-09-01.02	21.057	1.841	1.077
2011-BLG-1169	BLG512.28	 111739	18:03:51.44	-27:59:58.5	2455790.867	2011-08-17.37	8.894	0.686	1.704
2011-BLG-1170	BLG526.20	 8259	18:15:27.97	-30:56:06.4	2455801.797	2011-08-28.30	21.761	0.002	609.2
2011-BLG-1171	BLG534.22	 17390	17:51:18.87	-30:55:27.1	2455787.863	2011-08-14.36	2.863	0.335	3.106
2011-BLG-1172	BLG603.31	 14647	17:44:30.60	-33:40:57.0	2455779.277	2011-08-05.78	10.903	1.889	1.072
